"Country","estimated_deaths_in_2016","estimated_road_traffic_death_rate_per_100000_in_2016"
"Afghanistan","5230","15.1"
"Albania","399","13.6"
"Angola","6797","23.6"
"Antigua and Barbuda","8","7.9"
"Argentina","119","14"
"Armenia","499","17.1"
"Australia","351","5.6"
"Austria","452","5.2"
"Azerbaijan","845","8.7"
"Bangladesh","24954","15.3"
"Barbados","16","5.6"
"Belarus","841","8.9"
"Belgium","657","5.8"
"Belize","104","28.3"
"Benin","2986","27.5"
"Bhutan","139","17.4"
"Bolivia (Plurinational State of)","1687","15.5"
"Bosnia and Herzegovina","552","15.7"
"Botswana","535","23.8"
"Brazil","41","19.7"
"Bulgaria","730","10.2"
"Burkina Faso","5686","30.5"
"Burundi","3651","34.7"
"Cabo Verde","135","25"
"Cambodia","2803","17.8"
"Cameroon","7066","30.1"
"Canada","118","5.8"
"Central African Republic","1546","33.6"
"Chad","3990","27.6"
"Chile","245","12.5"
"China","256","18.2"
"Colombia","987","18.5"
"Comoros","211","26.5"
"Congo","1405","27.4"
"Cook Islands","3","17.3"
"Costa Rica","812","16.7"
"Côte d'Ivoire","5582","23.6"
"Croatia","340","8.1"
"Cuba","975","8.5"
"Cyprus","60","5.1"
"Czechia","630","5.9"
"Democratic Republic of the Congo","26529","33.7"
"Denmark","227","4"
"Dominica","8","10.9"
"Dominican Republic","684","34.6"
"Ecuador","490","21.3"
"Egypt","287","9.7"
"El Salvador","411","22.2"
"Equatorial Guinea","300","24.6"
"Eritrea","1255","25.3"
"Estonia","80","6.1"
"Eswatini","361","26.9"
"Ethiopia","27326","26.7"
"Fiji","86","9.6"
"Finland","260","4.7"
"France","585","5.5"
"Gabon","460","23.2"
"Gambia","605","29.7"
"Georgia","599","15.3"
"Germany","327","4.1"
"Ghana","7018","24.9"
"Greece","26","9.2"
"Grenada","10","9.3"
"Guatemala","758","16.6"
"Guinea","3490","28.2"
"Guinea-Bissau","565","31.1"
"Guyana","190","24.6"
"Honduras","1525","16.7"
"Hungary","756","7.8"
"Iceland","22","6.6"
"India","299","22.6"
"Indonesia","31726","12.2"
"Iran (Islamic Republic of)","426","20.5"
"Iraq","7686","20.7"
"Ireland","194","4.1"
"Israel","345","4.2"
"Italy","333","5.6"
"Jamaica","391","13.6"
"Japan","224","4.1"
"Jordan","2306","24.4"
"Kazakhstan","158","17.6"
"Kenya","13463","27.8"
"Kiribati","5","4.4"
"Kuwait","715","17.6"
"Kyrgyzstan","916","15.4"
"Lao People's Democratic Republic","1120","16.6"
"Latvia","184","9.3"
"Lebanon","1090","18.1"
"Lesotho","638","28.9"
"Liberia","1657","35.9"
"Libya","1645","26.1"
"Lithuania","234","8"
"Luxembourg","36","6.3"
"Madagascar","7108","28.6"
"Malawi","5601","31"
"Malaysia","7374","23.6"
"Maldives","4","0.9"
"Mali","4159","23.1"
"Malta","26","6.1"
"Mauritania","1064","24.7"
"Mauritius","173","13.7"
"Mexico","725","13.1"
"Micronesia (Federated States of)","2","1.9"
"Mongolia","499","16.5"
"Montenegro","67","10.7"
"Morocco","6917","19.6"
"Mozambique","8665","30.1"
"Myanmar","10540","19.9"
"Namibia","754","30.4"
"Nepal","4622","15.9"
"Netherlands","648","3.8"
"New Zealand","364","7.8"
"Niger","5414","26.2"
"Nigeria","39802","21.4"
"Norway","143","2.7"
"occupied Palestinian territory, including east Jerusalem","252","5.3"
"Oman","713","16.1"
"Pakistan","27582","14.3"
"Panama","575","14.3"
"Papua New Guinea","1145","14.2"
"Paraguay","529","22.7"
"Peru","4286","13.5"
"Philippines","690","12.3"
"Poland","698","9.7"
"Portugal","768","7.4"
"Qatar","239","9.3"
"Republic of Korea","990","9.8"
"Republic of Moldova","394","9.7"
"Republic of North Macedonia","134","6.4"
"Romania","044","10.3"
"Russian Federation","969","18"
"Rwanda","3535","29.7"
"Saint Lucia","63","35.4"
"Samoa","22","11.3"
"San Marino","0","0"
"Sao Tome and Principe","55","27.5"
"Saudi Arabia","9311","28.8"
"Senegal","3609","23.4"
"Serbia","649","7.4"
"Seychelles","15","15.9"
"Singapore","155","2.8"
"Slovakia","330","6.1"
"Slovenia","134","6.4"
"Solomon Islands","104","17.4"
"Somalia","3884","27.1"
"South Africa","507","25.9"
"South Sudan","3661","29.9"
"Spain","922","4.1"
"Sri Lanka","3096","14.9"
"Sudan","10178","25.7"
"Suriname","81","14.5"
"Sweden","278","2.8"
"Switzerland","223","2.7"
"Syrian Arab Republic","4890","26.5"
"Tajikistan","1577","18.1"
"Thailand","22491","32.7"
"Timor-Leste","161","12.7"
"Togo","2224","29.2"
"Tonga","18","16.8"
"Trinidad and Tobago","165","12.1"
"Tunisia","2595","22.8"
"Turkey","782","12.3"
"Turkmenistan","823","14.5"
"Uganda","12036","29"
"Ukraine","89","13.7"
"United Arab Emirates","1678","18.1"
"United Kingdom of Great Britain and Northern Ireland","2019","3.1"
"United Republic of Tanzania","16252","29.2"
"United States of America","888","12.4"
"Uruguay","460","13.4"
"Uzbekistan","617","11.5"
"Vanuatu","43","15.9"
"Venezuela (Bolivarian Republic of)","640","33.7"
"Viet Nam","24970","26.4"
"Zimbabwe","5601","34.7"
