"country","estimated_deaths_in_2016","estimated_road_traffic_death_rate_per_100000_in_2016","population_in_2019"
"Afghanistan","5230","15.1","38041754"
"Albania","399","13.6",2854191
"Angola","6797","23.6",31825295
"Antigua and Barbuda","8","7.9","97118"
"Argentina","119","14",44938712
"Armenia","499","17.1",2957731
"Australia","351","5.6",25364307
"Austria","452","5.2",8877067
"Azerbaijan","845","8.7",10023318
"Bangladesh","24954","15.3",163046161
"Barbados","16","5.6",287025
"Belarus","841","8.9",9466856
"Belgium","657","5.8",11484055
"Belize","104","28.3",390353
"Benin","2986","27.5",11801151
"Bhutan","139","17.4",763092
"Bolivia (Plurinational State of)","1687","15.5",11513100
"Bosnia and Herzegovina","552","15.7","3301000"
"Botswana","535","23.8",2303697
"Brazil","41","19.7",211049527
"Bulgaria","730","10.2",6975761
"Burkina Faso","5686","30.5","20321378"
"Burundi","3651","34.7",11530580
"Cabo Verde","135","25","549935"
"Cambodia","2803","17.8",16486542
"Cameroon","7066","30.1",25876380
"Canada","118","5.8",37589262
"Central African Republic","1546","33.6","4745185"
"Chad","3990","27.6",15946876
"Chile","245","12.5",18952038
"China","256","18.2",1397715000
"Colombia","987","18.5",50339443
"Comoros","211","26.5",850886
"Congo","1405","27.4",86790567
"Costa Rica","812","16.7","5047561"
"Côte d'Ivoire","5582","23.6","25716544
"Croatia","340","8.1",4067500
"Cuba","975","8.5",11333483
"Cyprus","60","5.1",1198575
"Democratic Republic of the Congo","26529","33.7","86790567"
"Denmark","227","4",5818553
"Dominica","8","10.9",71808
"Dominican Republic","684","34.6",10738958
"Ecuador","490","21.3",17373662
"Egypt","287","9.7",100388073
"El Salvador","411","22.2","6453553"
"Equatorial Guinea","300","24.6",1355986
"Eritrea","1255","25.3","3213972"
"Estonia","80","6.1",1326590
"Eswatini","361","26.9",1148130
"Ethiopia","27326","26.7",112078730
"Fiji","86","9.6",889953
"Finland","260","4.7",5520314
"France","585","5.5",67059887
"Gabon","460","23.2",2172579
"Gambia","605","29.7",2347706
"Georgia","599","15.3",3720382
"Germany","327","4.1",83132799
"Ghana","7018","24.9",30417856
"Greece","26","9.2",10716322
"Grenada","10","9.3",112003
