"Country","2019"
"Afghanistan","38041754"
"Angola","31825295"
"Albania","2854191"
"Argentina","44938712"
"Armenia","2957731"
"Australia","25364307"
"Austria","8877067"
"Azerbaijan","10023318"
"Burundi","11530580"
"Belgium","11484055"
"Benin","11801151"
"Bangladesh","163046161"
"Bulgaria","6975761"
"Belarus","9466856"
"Belize","390353"
"Bolivia","11513100"
"Brazil","211049527"
"Barbados","287025"
"Bhutan","763092"
"Botswana","2303697"
"Canada","37589262"
"Switzerland","8574832"
"Chile","18952038"
"China","1397715000"
"Hong,"7507400"
"Macao,"640445"
"Cameroon","25876380"
"Congo,"86790567"
"Congo,"5380508"
"Colombia","50339443"
"Comoros","850886"
"Cuba","11333483"
"Cyprus","1198575"
"Germany","83132799"
"Dominica","71808"
"Dominican,"10738958"
"Denmark","5818553"
"Ecuador","17373662"
"Egypt,"100388073"
"Eritrea",""
"Spain","47076781"
"Estonia","1326590"
"Ethiopia","112078730"
"Finland","5520314"
"Fiji","889953"
"France","67059887"
"Micronesia,"113815"
"Gabon","2172579"
"Georgia","3720382"
"Ghana","30417856"
"Guinea","12771246"
"Guinea-Bissau","1920922"
"Equatorial,"1355986"
"Papua,"8776109"
"Gambia,"2347706"
"Guinea-Bissau","1920922"
"Greece","10716322"
"Grenada","112003"
"Guatemala","16604026"
"Guyana","782766"
"Honduras","9746117"
"Croatia","4067500"
"Hungary","9769949"
"Indonesia","270625568"
"India","1366417754"
"Ireland","4941444"
"Iran,"82913906"
"Iraq","39309783"
"Iceland","361313"
"Israel","9053300"
"Italy","60297396"
"Jamaica","2948279"
"Jordan","10101694"
"Japan","126264931"
"Kazakhstan","18513930"
"Kenya","52573973"
"Cambodia","16486542"
"Kiribati","117606"
"Korea,"51709098"
"Korea,"25666161"
"Kuwait","4207083"
"Lebanon","6855713"
"Liberia","4937374"
"Libya","6777452"
"Lesotho","2125268"
"Lithuania","2786844"
"Luxembourg","619896"
"Latvia","1912789"
"Morocco","36471769"
"Moldova","2657637"
"Madagascar","26969307"
"Maldives","530953"
"Mexico","127575529"
"Mali","19658031"
"Malta","502653"
"Myanmar","54045420"
"Montenegro","622137"
"Mongolia","3225167"
"Mozambique","30366036"
"Mauritania","4525696"
"Mauritius","1265711"
"Malawi","18628747"
"Malaysia","31949777"
"Namibia","2494530"
"Niger","23310715"
"Nigeria","200963599"
"Nigeria","200963599"
"Netherlands","17332850"
"Norway","5347896"
"Nepal","28608710"
"Oman","4974986"
"Pakistan","216565318"
"Panama","4246439"
"Peru","32510453"
"Philippines","108116615"
"Poland","37970874"
"Korea,"51709098"
"Korea,"25666161"
"Portugal","10269417"
"Paraguay","7044636"
"Qatar","2832067"
"Romania","19356544"
"Rwanda","12626950"
"Sudan","42813238"
"South,"11062113"
"Senegal","16296364"
"Singapore","5703569"
"Somalia","15442905"
"Serbia","6944975"
"Suriname","581372"
"Slovenia","2087946"
"Sweden","10285453"
"Eswatini","1148130"
"Seychelles","97625"
"Chad","15946876"
"Togo","8082366"
"Thailand","69625582"
"Tajikistan","9321018"
"Turkmenistan","5942089"
"Timor-Leste","1293119"
"Tonga","104494"
"Tunisia","11694719"
"Turkey","83429615"
"Tanzania","58005463"
"Uganda","44269594"
"Ukraine","44385155"
"Uruguay","3461734"
"Uzbekistan","33580650"
"Venezuela,"28515829"
"Vanuatu","299882"
"American,"55312"
"Samoa","197097"
"Zimbabwe","14645468"
